constructor,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,grid,podium,driver_points_after_race.1,driver_wins_after_race.1,driver_standings_pos_after_race.1,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,wins_percentage,change_drivers
spirit,1985,1,jacarepagua,False,False,True,False,False,baldi,Italian,24,24,0,0,0,0,0,0,0,0,0,13.562000000000001,31,,0
team_lotus,1985,1,jacarepagua,False,False,True,False,False,angelis,Italian,3,3,0,0,0,0,0,0,0,0,0,0.313,27,,0
team_lotus,1985,1,jacarepagua,False,False,True,False,False,senna,Brazilian,4,15,0,0,0,0,0,0,0,0,0,0.621,25,0.0,1
tyrrell,1985,1,jacarepagua,False,False,True,False,False,brundle,British,21,8,0,0,0,0,0,0,0,0,0,8.384,25,0.0,0
tyrrell,1985,1,jacarepagua,False,False,True,False,False,johansson,Swedish,23,7,0,0,0,0,0,0,0,0,0,9.525,28,,1
williams,1985,1,jacarepagua,False,False,True,False,False,keke_rosberg,Finnish,2,21,0,0,0,0,0,0,0,0,0,0.096,36,,0
williams,1985,1,jacarepagua,False,False,True,False,False,mansell,British,5,23,0,0,0,0,0,0,0,0,0,1.08,31,0.0,1
alfa,1985,2,estoril,False,False,False,True,False,cheever,American,14,12,0,0,16,0,0,0,0,0,10,3.556,27,,0
alfa,1985,2,estoril,False,False,False,True,False,patrese,Italian,13,23,0,0,20,0,0,0,0,0,10,3.2230000000000003,31,0.0,0
arrows,1985,2,estoril,False,False,False,True,False,berger,Austrian,17,21,0,0,14,0,0,0,0,0,8,3.835,25,0.0,0
arrows,1985,2,estoril,False,False,False,True,False,boutsen,Belgian,10,16,0,0,11,0,0,0,0,0,8,2.611,27,,0
brabham,1985,2,estoril,False,False,False,True,False,hesnault,French,19,25,0,0,22,0,0,0,0,0,13,4.71,28,0.0,0
brabham,1985,2,estoril,False,False,False,True,False,piquet,Brazilian,16,15,0,0,25,0,0,0,0,0,13,3.74,32,0.0,0
ferrari,1985,2,estoril,False,False,False,True,False,alboreto,Italian,5,2,6,0,2,0,0,0,9,0,2,1.57,28,0.0,0
ferrari,1985,2,estoril,False,False,False,True,False,johansson,Swedish,11,8,0,0,7,0,0,0,9,0,2,2.645,28,,1
ligier,1985,2,estoril,False,False,False,True,False,cesaris,Italian,8,14,0,0,19,0,0,0,1,0,5,2.295,25,0.0,0
ligier,1985,2,estoril,False,False,False,True,False,laffite,French,18,20,1,0,6,0,0,0,1,0,5,3.9360000000000004,41,0.0,0
mclaren,1985,2,estoril,False,False,False,True,False,lauda,Austrian,7,11,0,0,18,0,0,0,9,1,1,2.281,36,0.0,0
mclaren,1985,2,estoril,False,False,False,True,False,prost,French,2,13,9,1,1,0,0,0,9,1,1,0.413,30,0.0,0
minardi,1985,2,estoril,False,False,False,True,False,martini,Italian,25,22,0,0,17,0,0,0,0,0,11,7.5889999999999995,23,0.0,0
osella,1985,2,estoril,False,False,False,True,False,ghinzani,Italian,26,9,0,0,12,0,0,0,0,0,9,9.847999999999999,33,0.0,0
ram,1985,2,estoril,False,False,False,True,False,alliot,French,20,24,0,0,9,0,0,0,0,0,7,5.18,30,0.0,0
ram,1985,2,estoril,False,False,False,True,False,manfred_winkelhock,German,15,10,0,0,13,0,0,0,0,0,7,3.714,33,0.0,0
renault,1985,2,estoril,False,False,False,True,False,tambay,French,12,3,2,0,5,0,0,0,2,0,4,3.1039999999999996,35,0.0,0
renault,1985,2,estoril,False,False,False,True,False,warwick,British,6,7,0,0,10,0,0,0,2,0,4,2.077,30,0.0,0
team_lotus,1985,2,estoril,False,False,False,True,False,angelis,Italian,4,4,4,0,3,0,0,0,4,0,3,1.1520000000000001,27,0.0,0
team_lotus,1985,2,estoril,False,False,False,True,False,senna,Brazilian,1,1,0,0,15,0,0,0,4,0,3,0.0,25,1.0,0
tyrrell,1985,2,estoril,False,False,False,True,False,bellof,German,21,6,0,0,0,0,0,0,0,0,6,6.277,27,0.0,0
tyrrell,1985,2,estoril,False,False,False,True,False,brundle,British,22,17,0,0,8,0,0,0,0,0,6,6.595,25,0.0,0
williams,1985,2,estoril,False,False,False,True,False,keke_rosberg,Finnish,3,19,0,0,21,0,0,0,0,0,12,0.897,36,,0
williams,1985,2,estoril,False,False,False,True,False,mansell,British,9,5,0,0,23,0,0,0,0,0,12,2.5869999999999997,31,0.0,0
zakspeed,1985,2,estoril,False,False,False,True,False,palmer,British,23,26,0,0,0,0,0,0,0,0,0,7.159,28,0.0,1
alfa,1985,3,imola,False,False,False,False,False,cheever,American,12,12,0,0,18,0,0,16,0,0,11,1.932,27,,0
alfa,1985,3,imola,False,False,False,False,False,patrese,Italian,18,25,0,0,25,0,0,20,0,0,11,3.781,31,0.0,0
arrows,1985,3,imola,False,False,False,False,False,berger,Austrian,18,24,0,0,20,0,0,14,0,0,10,3.781,25,,0
arrows,1985,3,imola,False,False,False,False,False,boutsen,Belgian,5,2,0,0,15,0,0,11,0,0,10,0.591,27,,0
brabham,1985,3,imola,False,False,False,False,False,hesnault,French,20,22,0,0,26,0,0,22,0,0,12,5.815,28,0.0,0
brabham,1985,3,imola,False,False,False,False,False,piquet,Brazilian,9,8,0,0,21,0,0,25,0,0,12,1.162,32,0.0,0
ferrari,1985,3,imola,False,False,False,False,False,alboreto,Italian,4,14,12,0,1,6,0,2,15,0,2,0.544,28,0.0,0
ferrari,1985,3,imola,False,False,False,False,False,johansson,Swedish,15,6,0,0,10,0,0,7,15,0,2,2.479,28,,0
ligier,1985,3,imola,False,False,False,False,False,cesaris,Italian,13,20,0,0,19,0,0,19,1,0,7,2.079,25,0.0,0
ligier,1985,3,imola,False,False,False,False,False,laffite,French,16,18,1,0,8,1,0,6,1,0,7,3.655,41,0.0,0
mclaren,1985,3,imola,False,False,False,False,False,lauda,Austrian,8,4,0,0,17,0,0,18,9,1,3,1.072,36,,0
mclaren,1985,3,imola,False,False,False,False,False,prost,French,6,11,9,1,2,9,1,1,9,1,3,0.772,30,0.0,0
minardi,1985,3,imola,False,False,False,False,False,martini,Italian,19,19,0,0,22,0,0,17,0,0,13,5.443,24,0.0,0
osella,1985,3,imola,False,False,False,False,False,ghinzani,Italian,22,13,0,0,13,0,0,12,0,0,8,6.882000000000001,33,0.0,0
ram,1985,3,imola,False,False,False,False,False,alliot,French,21,16,0,0,14,0,0,9,0,0,9,6.874,30,0.0,0
ram,1985,3,imola,False,False,False,False,False,manfred_winkelhock,German,23,15,0,0,16,0,0,13,0,0,9,7.252000000000001,33,0.0,0
renault,1985,3,imola,False,False,False,False,False,tambay,French,11,3,6,0,5,2,0,5,6,0,4,1.775,35,0.0,0
renault,1985,3,imola,False,False,False,False,False,warwick,British,14,10,0,0,11,0,0,10,6,0,4,2.1390000000000002,30,0.0,0
spirit,1985,3,imola,False,False,False,False,False,baldi,Italian,26,21,0,0,23,0,0,24,0,0,14,9.595,31,0.0,0
team_lotus,1985,3,imola,False,False,False,False,False,angelis,Italian,3,1,7,0,4,4,0,3,16,1,1,0.525,27,0.5,0
team_lotus,1985,3,imola,False,False,False,False,False,senna,Brazilian,1,7,9,1,3,0,0,15,16,1,1,0.0,25,0.0,0
tyrrell,1985,3,imola,False,False,False,False,False,bellof,German,24,23,1,0,9,0,0,0,1,0,6,8.326,27,0.0,0
tyrrell,1985,3,imola,False,False,False,False,False,brundle,British,25,9,0,0,12,0,0,8,1,0,6,9.07,25,0.0,0
williams,1985,3,imola,False,False,False,False,False,keke_rosberg,Finnish,2,17,0,0,24,0,0,21,2,0,5,0.027000000000000003,36,,0
williams,1985,3,imola,False,False,False,False,False,mansell,British,7,5,2,0,7,0,0,23,2,0,5,0.875,31,0.0,0
zakspeed,1985,3,imola,False,False,False,False,False,palmer,British,17,26,0,0,27,0,0,0,0,0,15,3.701,28,0.0,0
alfa,1985,4,monaco,False,False,True,False,False,cheever,American,4,17,0,0,19,0,0,18,0,0,12,0.27899999999999997,27,,0
alfa,1985,4,monaco,False,False,True,False,False,patrese,Italian,12,13,0,0,25,0,0,25,0,0,12,1.3630000000000002,31,0.0,0
arrows,1985,4,monaco,False,False,True,False,False,berger,Austrian,11,19,0,0,21,0,0,20,6,0,5,1.215,25,,0
arrows,1985,4,monaco,False,False,True,False,False,boutsen,Belgian,6,9,6,0,6,0,0,15,6,0,5,0.852,27,,0
brabham,1985,4,monaco,False,False,True,False,False,piquet,Brazilian,13,14,0,0,15,0,0,21,0,0,9,1.367,32,0.0,0
ferrari,1985,4,monaco,False,False,True,False,False,alboreto,Italian,3,2,12,0,2,12,0,1,16,0,2,0.113,28,0.0,0
ferrari,1985,4,monaco,False,False,True,False,False,johansson,Swedish,15,18,1,0,10,0,0,10,16,0,2,2.185,28,,0
ligier,1985,4,monaco,False,False,True,False,False,cesaris,Italian,8,4,0,0,20,0,0,19,1,0,8,0.897,25,0.0,0
ligier,1985,4,monaco,False,False,True,False,False,laffite,French,16,6,1,0,11,1,0,8,1,0,8,2.43,41,0.0,0
mclaren,1985,4,monaco,False,False,True,False,False,lauda,Austrian,14,12,3,0,8,0,0,17,12,1,3,1.4569999999999999,36,,0
mclaren,1985,4,monaco,False,False,True,False,False,prost,French,5,1,9,1,5,9,1,2,12,1,3,0.435,30,0.2,0
renault,1985,4,monaco,False,False,True,False,False,tambay,French,17,20,10,0,3,6,0,5,10,0,4,2.4619999999999997,35,0.0,0
renault,1985,4,monaco,False,False,True,False,False,warwick,British,10,5,0,0,13,0,0,11,10,0,4,1.081,30,0.0,0
team_lotus,1985,4,monaco,False,False,True,False,False,angelis,Italian,9,3,16,1,1,7,0,4,25,2,1,1.015,27,0.0,0
team_lotus,1985,4,monaco,False,False,True,False,False,senna,Brazilian,1,16,9,1,4,9,1,3,25,2,1,0.0,25,0.0,0
toleman,1985,4,monaco,False,False,True,False,False,fabi,Italian,20,15,0,0,0,0,0,0,0,0,0,3.515,30,0.0,1
tyrrell,1985,4,monaco,False,False,True,False,False,brundle,British,18,10,0,0,14,0,0,12,1,0,7,3.377,25,0.0,0
williams,1985,4,monaco,False,False,True,False,False,keke_rosberg,Finnish,7,8,0,0,22,0,0,24,4,0,6,0.87,36,0.0,0
williams,1985,4,monaco,False,False,True,False,False,mansell,British,2,7,4,0,7,2,0,7,4,0,6,0.086,31,0.0,0
zakspeed,1985,4,monaco,False,False,True,False,False,palmer,British,19,11,0,0,27,0,0,27,0,0,15,3.39,28,0.0,0
alfa,1985,5,villeneuve,True,False,False,False,False,cheever,American,11,17,0,0,22,0,0,19,0,0,13,1.787,27,,0
alfa,1985,5,villeneuve,True,False,False,False,False,patrese,Italian,13,10,0,0,23,0,0,25,0,0,13,2.428,31,0.0,0
arrows,1985,5,villeneuve,True,False,False,False,False,berger,Austrian,12,13,0,0,24,0,0,21,6,0,5,2.176,25,0.0,0
arrows,1985,5,villeneuve,True,False,False,False,False,boutsen,Belgian,7,9,6,0,6,6,0,6,6,0,5,1.2790000000000001,27,0.0,0
brabham,1985,5,villeneuve,True,False,False,False,False,piquet,Brazilian,9,25,0,0,16,0,0,15,0,0,9,1.734,32,0.0,0
brabham,1985,5,villeneuve,True,False,False,False,False,surer,Swiss,20,15,0,0,0,0,0,0,0,0,9,4.906000000000001,33,,1
ferrari,1985,5,villeneuve,True,False,False,False,False,alboreto,Italian,3,1,18,0,3,12,0,2,22,0,2,0.56,28,1.0,0
ferrari,1985,5,villeneuve,True,False,False,False,False,johansson,Swedish,4,2,1,0,13,1,0,10,22,0,2,0.603,28,,0
ligier,1985,5,villeneuve,True,False,False,False,False,cesaris,Italian,15,14,3,0,9,0,0,20,5,0,6,2.8360000000000003,26,0.0,0
ligier,1985,5,villeneuve,True,False,False,False,False,laffite,French,19,8,2,0,12,1,0,11,5,0,6,4.183,41,0.0,0
mclaren,1985,5,villeneuve,True,False,False,False,False,lauda,Austrian,17,19,3,0,8,3,0,8,21,2,3,3.5589999999999997,36,0.0,0
mclaren,1985,5,villeneuve,True,False,False,False,False,prost,French,5,3,18,2,2,9,1,5,21,2,3,0.99,30,0.0,0
minardi,1985,5,villeneuve,True,False,False,False,False,martini,Italian,25,18,0,0,26,0,0,23,0,0,15,10.418,24,0.0,0
osella,1985,5,villeneuve,True,False,False,False,False,ghinzani,Italian,22,20,0,0,18,0,0,16,0,0,10,7.0089999999999995,33,0.0,0
ram,1985,5,villeneuve,True,False,False,False,False,alliot,French,21,21,0,0,19,0,0,17,0,0,11,4.934,30,0.0,0
ram,1985,5,villeneuve,True,False,False,False,False,manfred_winkelhock,German,14,23,0,0,21,0,0,18,0,0,11,2.699,33,0.0,0
renault,1985,5,villeneuve,True,False,False,False,False,tambay,French,10,7,10,0,4,10,0,3,12,0,4,1.7730000000000001,35,0.0,0
renault,1985,5,villeneuve,True,False,False,False,False,warwick,British,6,22,2,0,11,0,0,13,12,0,4,1.055,30,0.0,0
team_lotus,1985,5,villeneuve,True,False,False,False,False,angelis,Italian,1,5,20,1,1,16,1,1,29,2,1,0.0,27,0.0,0
team_lotus,1985,5,villeneuve,True,False,False,False,False,senna,Brazilian,2,16,9,1,5,9,1,4,29,2,1,0.249,25,0.0,0
toleman,1985,5,villeneuve,True,False,False,False,False,fabi,Italian,18,24,0,0,25,0,0,0,0,0,14,4.058,30,0.0,0
tyrrell,1985,5,villeneuve,True,False,False,False,False,bellof,German,23,11,1,0,14,1,0,12,1,0,8,7.166,27,0.0,0
tyrrell,1985,5,villeneuve,True,False,False,False,False,brundle,British,24,12,0,0,15,0,0,14,1,0,8,7.356,26,0.0,0
williams,1985,5,villeneuve,True,False,False,False,False,keke_rosberg,Finnish,8,4,0,0,17,0,0,22,4,0,7,1.53,36,0.0,0
williams,1985,5,villeneuve,True,False,False,False,False,mansell,British,16,6,4,0,7,4,0,7,4,0,7,3.161,31,0.0,0
alfa,1985,6,detroit,True,True,False,False,False,cheever,American,7,9,0,0,25,0,0,22,0,0,12,2.18,27,,0
alfa,1985,6,detroit,True,True,False,False,False,patrese,Italian,14,18,0,0,20,0,0,23,0,0,12,4.541,31,0.0,0
arrows,1985,6,detroit,True,True,False,False,False,berger,Austrian,24,11,0,0,23,0,0,24,6,0,6,23.256,25,,0
arrows,1985,6,detroit,True,True,False,False,False,boutsen,Belgian,21,7,6,0,7,6,0,6,6,0,6,5.972,27,,0
brabham,1985,6,detroit,True,True,False,False,False,piquet,Brazilian,10,6,0,0,17,0,0,16,0,0,9,3.1430000000000002,32,0.0,0
brabham,1985,6,detroit,True,True,False,False,False,surer,Swiss,11,8,0,0,24,0,0,0,0,0,9,3.928,33,,0
ferrari,1985,6,detroit,True,True,False,False,False,alboreto,Italian,3,3,27,1,1,18,0,3,37,1,1,1.6969999999999998,28,0.0,0
ferrari,1985,6,detroit,True,True,False,False,False,johansson,Swedish,9,2,7,0,6,1,0,13,37,1,1,2.87,28,,0
ligier,1985,6,detroit,True,True,False,False,False,cesaris,Italian,17,10,3,0,10,3,0,9,5,0,7,5.3420000000000005,26,0.0,0
ligier,1985,6,detroit,True,True,False,False,False,laffite,French,16,12,2,0,14,2,0,12,5,0,7,5.216,41,,0
mclaren,1985,6,detroit,True,True,False,False,False,lauda,Austrian,12,22,3,0,11,3,0,8,25,2,3,4.215,36,,0
mclaren,1985,6,detroit,True,True,False,False,False,prost,French,4,17,22,2,2,18,2,2,25,2,3,2.037,30,,0
minardi,1985,6,detroit,True,True,False,False,False,martini,Italian,25,21,0,0,27,0,0,26,0,0,15,82.395,24,0.0,0
osella,1985,6,detroit,True,True,False,False,False,ghinzani,Italian,22,25,0,0,18,0,0,18,0,0,10,6.495,33,0.0,0
ram,1985,6,detroit,True,True,False,False,False,alliot,French,23,15,0,0,19,0,0,19,0,0,11,8.404,30,,0
ram,1985,6,detroit,True,True,False,False,False,manfred_winkelhock,German,20,24,0,0,22,0,0,21,0,0,11,5.875,33,,0
renault,1985,6,detroit,True,True,False,False,False,tambay,French,15,20,10,0,4,10,0,4,12,0,4,4.977,35,,0
renault,1985,6,detroit,True,True,False,False,False,warwick,British,6,19,2,0,13,2,0,11,12,0,4,2.112,30,,0
team_lotus,1985,6,detroit,True,True,False,False,False,angelis,Italian,8,5,22,1,3,20,1,1,31,2,2,2.718,27,0.0,0
team_lotus,1985,6,detroit,True,True,False,False,False,senna,Brazilian,1,13,9,1,5,9,1,5,31,2,2,0.0,25,0.0,0
toleman,1985,6,detroit,True,True,False,False,False,fabi,Italian,13,23,0,0,26,0,0,25,0,0,14,4.495,30,0.0,0
tyrrell,1985,6,detroit,True,True,False,False,False,bellof,German,19,4,1,0,15,1,0,14,1,0,8,5.86,27,,0
tyrrell,1985,6,detroit,True,True,False,False,False,brundle,British,18,14,0,0,16,0,0,15,1,0,8,5.5120000000000005,26,,0
williams,1985,6,detroit,True,True,False,False,False,keke_rosberg,Finnish,5,1,3,0,9,0,0,17,8,0,5,2.105,36,1.0,0
williams,1985,6,detroit,True,True,False,False,False,mansell,British,2,16,5,0,8,4,0,7,8,0,5,1.198,31,,0
alfa,1985,7,ricard,False,False,False,False,False,cheever,American,18,10,0,0,20,0,0,25,0,0,10,4.68,27,,0
alfa,1985,7,ricard,False,False,False,False,False,patrese,Italian,17,11,0,0,22,0,0,20,0,0,10,4.468999999999999,31,,0
arrows,1985,7,ricard,False,False,False,False,False,berger,Austrian,9,19,0,0,23,0,0,23,6,0,6,2.218,25,,0
arrows,1985,7,ricard,False,False,False,False,False,boutsen,Belgian,12,9,6,0,8,6,0,7,6,0,6,3.109,27,,0
brabham,1985,7,ricard,False,False,False,False,False,piquet,Brazilian,5,1,1,0,16,0,0,17,1,0,9,1.35,32,1.0,0
brabham,1985,7,ricard,False,False,False,False,False,surer,Swiss,14,8,0,0,18,0,0,24,1,0,9,3.6710000000000003,33,,0
ferrari,1985,7,ricard,False,False,False,False,False,alboreto,Italian,3,23,31,1,1,27,1,1,47,1,1,0.805,28,,0
ferrari,1985,7,ricard,False,False,False,False,False,johansson,Swedish,16,4,13,0,4,7,0,6,47,1,1,4.2669999999999995,28,,0
ligier,1985,7,ricard,False,False,False,False,False,cesaris,Italian,13,24,3,0,11,3,0,10,5,0,7,3.11,26,,0
ligier,1985,7,ricard,False,False,False,False,False,laffite,French,15,25,2,0,15,2,0,14,5,0,7,3.678,41,0.0,0
mclaren,1985,7,ricard,False,False,False,False,False,lauda,Austrian,6,17,3,0,12,3,0,11,25,2,3,1.3980000000000001,36,,0
mclaren,1985,7,ricard,False,False,False,False,False,prost,French,4,3,22,2,3,22,2,2,25,2,3,0.873,30,0.0,0
minardi,1985,7,ricard,False,False,False,False,False,martini,Italian,25,20,0,0,27,0,0,27,0,0,15,11.942,24,,0
osella,1985,7,ricard,False,False,False,False,False,ghinzani,Italian,24,15,0,0,19,0,0,18,0,0,11,11.888,33,,0
ram,1985,7,ricard,False,False,False,False,False,alliot,French,23,21,0,0,21,0,0,19,0,0,12,9.674,30,0.0,0
ram,1985,7,ricard,False,False,False,False,False,manfred_winkelhock,German,20,12,0,0,25,0,0,22,0,0,12,7.553,33,,0
renault,1985,7,ricard,False,False,False,False,False,tambay,French,10,6,10,0,6,10,0,4,12,0,5,2.5140000000000002,36,0.0,0
renault,1985,7,ricard,False,False,False,False,False,warwick,British,11,7,2,0,14,2,0,13,12,0,5,3.0260000000000002,30,0.0,0
team_lotus,1985,7,ricard,False,False,False,False,False,angelis,Italian,7,5,24,1,2,22,1,3,33,2,2,1.56,27,,0
team_lotus,1985,7,ricard,False,False,False,False,False,senna,Brazilian,2,18,9,1,7,9,1,5,33,2,2,0.373,25,0.0,0
toleman,1985,7,ricard,False,False,False,False,False,fabi,Italian,19,14,0,0,26,0,0,26,0,0,14,5.192,30,,0
tyrrell,1985,7,ricard,False,False,False,False,False,brundle,British,21,16,0,0,17,0,0,16,4,0,8,7.827000000000001,26,0.0,0
williams,1985,7,ricard,False,False,False,False,False,keke_rosberg,Finnish,1,2,12,1,5,3,0,9,17,1,4,0.0,36,,0
williams,1985,7,ricard,False,False,False,False,False,mansell,British,8,26,5,0,9,5,0,8,17,1,4,2.2119999999999997,31,0.0,0
zakspeed,1985,7,ricard,False,False,False,False,False,palmer,British,22,22,0,0,24,0,0,21,0,0,13,9.185,28,0.0,0
alfa,1985,8,silverstone,False,False,False,False,True,cheever,American,22,20,0,0,19,0,0,20,0,0,10,4.754,27,,0
alfa,1985,8,silverstone,False,False,False,False,True,patrese,Italian,14,9,0,0,22,0,0,22,0,0,10,2.793,31,,0
arrows,1985,8,silverstone,False,False,False,False,True,berger,Austrian,17,8,0,0,23,0,0,23,6,0,7,3.0810000000000004,25,,0
arrows,1985,8,silverstone,False,False,False,False,True,boutsen,Belgian,19,13,6,0,9,6,0,8,6,0,7,3.54,28,,0
brabham,1985,8,silverstone,False,False,False,False,True,piquet,Brazilian,2,4,10,1,7,1,0,16,10,1,6,0.6579999999999999,32,0.0,0
brabham,1985,8,silverstone,False,False,False,False,True,surer,Swiss,15,6,0,0,17,0,0,18,10,1,6,2.9960000000000004,33,,0
ferrari,1985,8,silverstone,False,False,False,False,True,alboreto,Italian,6,2,31,1,1,31,1,1,50,1,1,1.202,28,,0
ferrari,1985,8,silverstone,False,False,False,False,True,johansson,Swedish,11,23,16,0,5,13,0,4,50,1,1,2.296,28,,0
ligier,1985,8,silverstone,False,False,False,False,True,cesaris,Italian,7,14,3,0,12,3,0,11,5,0,8,1.857,26,,0
ligier,1985,8,silverstone,False,False,False,False,True,laffite,French,16,3,2,0,16,2,0,15,5,0,8,3.065,41,0.0,0
mclaren,1985,8,silverstone,False,False,False,False,True,lauda,Austrian,10,12,3,0,13,3,0,12,29,2,3,2.1519999999999997,36,,0
mclaren,1985,8,silverstone,False,False,False,False,True,prost,French,3,1,26,2,2,22,2,3,29,2,3,0.7170000000000001,30,0.2,0
minardi,1985,8,silverstone,False,False,False,False,True,martini,Italian,23,15,0,0,27,0,0,27,0,0,15,8.054,24,,0
osella,1985,8,silverstone,False,False,False,False,True,ghinzani,Italian,25,26,0,0,20,0,0,19,0,0,12,10.809000000000001,33,,0
ram,1985,8,silverstone,False,False,False,False,True,alliot,French,21,25,0,0,21,0,0,21,0,0,11,4.018,30,0.0,0
ram,1985,8,silverstone,False,False,False,False,True,manfred_winkelhock,German,18,17,0,0,25,0,0,25,0,0,11,3.523,33,0.0,0
renault,1985,8,silverstone,False,False,False,False,True,tambay,French,13,24,11,0,6,10,0,6,13,0,5,2.6489999999999996,36,0.0,0
renault,1985,8,silverstone,False,False,False,False,True,warwick,British,12,5,2,0,15,2,0,14,13,0,5,2.647,30,0.0,0
team_lotus,1985,8,silverstone,False,False,False,False,True,angelis,Italian,8,16,26,1,3,24,1,2,35,2,2,1.99,27,,0
team_lotus,1985,8,silverstone,False,False,False,False,True,senna,Brazilian,4,10,9,1,8,9,1,7,35,2,2,0.733,25,0.0,0
toleman,1985,8,silverstone,False,False,False,False,True,fabi,Italian,9,22,0,0,26,0,0,26,0,0,14,2.0869999999999997,30,,0
tyrrell,1985,8,silverstone,False,False,False,False,True,bellof,German,26,11,4,0,11,4,0,10,4,0,9,11.005,27,0.0,0
tyrrell,1985,8,silverstone,False,False,False,False,True,brundle,British,20,7,0,0,18,0,0,17,4,0,9,3.6510000000000002,26,0.0,0
williams,1985,8,silverstone,False,False,False,False,True,keke_rosberg,Finnish,1,18,18,1,4,12,1,5,23,1,4,0.0,36,0.0,0
williams,1985,8,silverstone,False,False,False,False,True,mansell,British,5,19,5,0,10,5,0,9,23,1,4,1.084,31,0.0,0
zakspeed,1985,8,silverstone,False,False,False,False,True,palmer,British,24,21,0,0,24,0,0,24,0,0,13,8.122,28,0.0,0
alfa,1985,9,nurburgring,False,False,True,False,False,cheever,American,18,13,0,0,21,0,0,19,0,0,10,3.645,27,,0
alfa,1985,9,nurburgring,False,False,True,False,False,patrese,Italian,9,23,0,0,20,0,0,22,0,0,10,1.909,31,0.0,0
arrows,1985,9,nurburgring,False,False,True,False,False,berger,Austrian,17,7,0,0,19,0,0,23,6,0,8,3.237,25,,0
arrows,1985,9,nurburgring,False,False,True,False,False,boutsen,Belgian,15,4,6,0,9,6,0,9,6,0,8,2.352,28,,0
brabham,1985,9,nurburgring,False,False,True,False,False,piquet,Brazilian,6,19,13,1,6,10,1,7,14,1,6,1.3730000000000002,32,0.0,0
brabham,1985,9,nurburgring,False,False,True,False,False,surer,Swiss,11,21,1,0,17,0,0,17,14,1,6,2.129,33,,0
ferrari,1985,9,nurburgring,False,False,True,False,False,alboreto,Italian,8,1,37,1,1,31,1,1,56,1,1,1.765,28,1.0,0
ferrari,1985,9,nurburgring,False,False,True,False,False,johansson,Swedish,2,9,16,0,5,16,0,5,56,1,1,1.187,28,,0
ligier,1985,9,nurburgring,False,False,True,False,False,cesaris,Italian,14,27,3,0,14,3,0,12,9,0,7,2.309,26,0.0,0
ligier,1985,9,nurburgring,False,False,True,False,False,laffite,French,13,3,6,0,10,2,0,16,9,0,7,2.227,41,0.0,0
mclaren,1985,9,nurburgring,False,False,True,False,False,lauda,Austrian,12,5,3,0,15,3,0,13,38,3,2,2.2230000000000003,36,,0
mclaren,1985,9,nurburgring,False,False,True,False,False,prost,French,3,2,35,3,2,26,2,2,38,3,2,1.296,30,0.0,0
minardi,1985,9,nurburgring,False,False,True,False,False,martini,Italian,27,11,0,0,27,0,0,27,0,0,15,23.076999999999998,24,0.0,0
osella,1985,9,nurburgring,False,False,True,False,False,rothengatter,Dutch,25,15,0,0,0,0,0,0,0,0,12,9.049,30,,1
ram,1985,9,nurburgring,False,False,True,False,False,alliot,French,21,25,0,0,23,0,0,21,0,0,11,4.588,31,0.0,0
ram,1985,9,nurburgring,False,False,True,False,False,manfred_winkelhock,German,22,22,0,0,25,0,0,25,0,0,11,5.178,33,0.0,0
renault,1985,9,nurburgring,False,False,True,False,False,hesnault,French,23,24,0,0,29,0,0,29,15,0,5,5.732,28,0.0,1
renault,1985,9,nurburgring,False,False,True,False,False,tambay,French,16,20,11,0,7,11,0,6,15,0,5,2.488,36,0.0,0
renault,1985,9,nurburgring,False,False,True,False,False,warwick,British,20,18,4,0,13,2,0,15,15,0,5,3.8080000000000003,30,0.0,0
team_lotus,1985,9,nurburgring,False,False,True,False,False,angelis,Italian,7,14,26,1,3,26,1,3,35,2,3,1.6909999999999998,27,0.0,0
team_lotus,1985,9,nurburgring,False,False,True,False,False,senna,Brazilian,5,17,9,1,8,9,1,8,35,2,3,1.3630000000000002,25,0.0,0
toleman,1985,9,nurburgring,False,False,True,False,False,fabi,Italian,1,16,0,0,26,0,0,26,0,0,14,0.0,30,0.0,0
tyrrell,1985,9,nurburgring,False,False,True,False,False,bellof,German,19,8,4,0,12,4,0,11,4,0,9,3.79,27,0.0,0
tyrrell,1985,9,nurburgring,False,False,True,False,False,brundle,British,26,10,0,0,18,0,0,18,4,0,9,10.192,26,0.0,0
williams,1985,9,nurburgring,False,False,True,False,False,keke_rosberg,Finnish,4,12,18,1,4,18,1,4,23,1,4,1.3519999999999999,36,0.0,0
williams,1985,9,nurburgring,False,False,True,False,False,mansell,British,10,6,5,0,11,5,0,10,23,1,4,2.046,31,0.0,0
zakspeed,1985,9,nurburgring,False,False,True,False,False,palmer,British,24,26,0,0,24,0,0,24,0,0,13,6.787999999999999,28,0.0,0
alfa,1985,10,osterreichring,False,False,True,False,False,cheever,American,20,24,0,0,21,0,0,21,0,0,10,3.5410000000000004,27,,0
alfa,1985,10,osterreichring,False,False,True,False,False,patrese,Italian,10,20,0,0,20,0,0,20,0,0,10,2.3609999999999998,31,,0
arrows,1985,10,osterreichring,False,False,True,False,False,berger,Austrian,17,14,0,0,19,0,0,19,9,0,8,3.076,25,0.0,0
