driver,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,nationality,constructor,grid,podium,driver_points_after_race.1,driver_wins_after_race.1,driver_standings_pos_after_race.1,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,wins_percentage,change_teams
warwick,1983,2,long_beach,True,False,False,False,False,British,toleman,6,25,0,0,7,0,0,0,0,0,7,2.013,28,0.0,0
alboreto,1983,2,long_beach,True,False,False,False,False,Italian,tyrrell,7,9,0,0,24,0,0,0,0,0,8,2.3080000000000003,26,,0
sullivan,1983,2,long_beach,True,False,False,False,False,American,tyrrell,9,8,0,0,10,0,0,0,0,0,8,2.716,33,,0
keke_rosberg,1983,2,long_beach,True,False,False,False,False,Finnish,williams,3,23,0,0,0,0,0,0,3,0,3,1.028,34,,1
laffite,1983,2,long_beach,True,False,False,False,False,French,williams,4,4,3,0,3,0,0,0,3,0,3,1.7009999999999998,39,,0
baldi,1983,3,ricard,False,False,False,False,True,Italian,alfa,8,18,0,0,26,0,0,19,0,0,14,2.946,29,,0
cesaris,1983,3,ricard,False,False,False,False,True,Italian,alfa,7,12,0,0,21,0,0,25,0,0,14,2.9389999999999996,23,,0
serra,1983,3,ricard,False,False,False,False,True,Brazilian,arrows,26,19,0,0,14,0,0,8,3,0,5,8.106,26,0.0,0
surer,1983,3,ricard,False,False,False,False,True,Swiss,arrows,21,10,3,0,6,1,0,5,3,0,5,6.29,31,,0
manfred_winkelhock,1983,3,ricard,False,False,False,False,True,German,ats,10,16,0,0,19,0,0,14,0,0,13,3.5610000000000004,31,,0
patrese,1983,3,ricard,False,False,False,False,True,Italian,brabham,3,23,0,0,15,0,0,21,9,1,2,2.432,29,,0
piquet,1983,3,ricard,False,False,False,False,True,Brazilian,brabham,6,2,9,1,2,9,1,1,9,1,2,2.929,30,0.0,0
arnoux,1983,3,ricard,False,False,False,False,True,French,ferrari,4,7,4,0,5,0,0,9,6,0,3,2.443,34,0.0,0
tambay,1983,3,ricard,False,False,False,False,True,French,ferrari,11,4,2,0,7,2,0,4,6,0,3,3.721,33,0.0,0
boesel,1983,3,ricard,False,False,False,False,True,Brazilian,ligier,25,14,0,0,10,0,0,18,0,0,8,7.797999999999999,25,0.0,0
jarier,1983,3,ricard,False,False,False,False,True,French,ligier,20,9,0,0,24,0,0,20,0,0,8,6.065,36,0.0,0
lauda,1983,3,ricard,False,False,False,False,True,Austrian,mclaren,12,17,10,0,1,4,0,2,19,1,1,4.393,34,,0
watson,1983,3,ricard,False,False,False,False,True,British,mclaren,14,26,9,1,3,0,0,17,19,1,1,5.166,36,0.0,0
corrado_fabi,1983,3,ricard,False,False,False,False,True,Italian,osella,23,15,0,0,28,0,0,22,0,0,15,6.739,22,,0
cheever,1983,3,ricard,False,False,False,False,True,American,renault,2,3,0,0,17,0,0,16,0,0,7,2.3080000000000003,25,,0
prost,1983,3,ricard,False,False,False,False,True,French,renault,1,1,0,0,9,0,0,6,0,0,7,0.0,28,0.25,0
angelis,1983,3,ricard,False,False,False,False,True,Italian,team_lotus,5,22,0,0,23,0,0,0,0,0,11,2.64,25,,0
mansell,1983,3,ricard,False,False,False,False,True,British,team_lotus,18,25,0,0,16,0,0,11,0,0,11,5.978,29,0.0,0
cecotto,1983,3,ricard,False,False,False,False,True,Venezuelan,theodore,17,11,1,0,8,0,0,12,1,0,6,5.943,27,,0
guerrero,1983,3,ricard,False,False,False,False,True,Colombian,theodore,22,20,0,0,22,0,0,15,1,0,6,6.695,24,,0
giacomelli,1983,3,ricard,False,False,False,False,True,Italian,toleman,13,13,0,0,25,0,0,23,0,0,10,5.103,30,,0
warwick,1983,3,ricard,False,False,False,False,True,British,toleman,9,24,0,0,12,0,0,7,0,0,10,3.2089999999999996,28,0.0,0
alboreto,1983,3,ricard,False,False,False,False,True,Italian,tyrrell,15,8,0,0,13,0,0,24,0,0,9,5.505,26,,0
sullivan,1983,3,ricard,False,False,False,False,True,American,tyrrell,24,21,0,0,11,0,0,10,0,0,9,6.982,33,,0
keke_rosberg,1983,3,ricard,False,False,False,False,True,Finnish,williams,16,5,0,0,27,0,0,0,6,0,4,5.778,34,,0
laffite,1983,3,ricard,False,False,False,False,True,French,williams,19,6,6,0,4,3,0,3,6,0,4,6.006,39,0.0,0
baldi,1983,4,imola,False,False,False,False,False,Italian,alfa,10,10,0,0,28,0,0,26,0,0,12,3.762,29,0.0,0
cesaris,1983,4,imola,False,False,False,False,False,Italian,alfa,8,14,0,0,20,0,0,21,0,0,12,2.29,23,0.0,0
serra,1983,4,imola,False,False,False,False,False,Brazilian,arrows,20,8,0,0,17,0,0,14,3,0,6,5.02,26,0.0,0
surer,1983,4,imola,False,False,False,False,False,Swiss,arrows,12,6,3,0,9,3,0,6,3,0,6,4.173,31,,0
manfred_winkelhock,1983,4,imola,False,False,False,False,False,German,ats,7,11,0,0,23,0,0,19,0,0,14,2.2319999999999998,31,0.0,0
patrese,1983,4,imola,False,False,False,False,False,Italian,brabham,5,13,0,0,18,0,0,15,15,1,2,1.7309999999999999,29,0.0,0
piquet,1983,4,imola,False,False,False,False,False,Brazilian,brabham,2,16,15,1,1,9,1,2,15,1,2,0.726,30,0.0,0
arnoux,1983,4,imola,False,False,False,False,False,French,ferrari,1,3,4,0,7,4,0,5,9,0,4,0.0,34,0.0,0
tambay,1983,4,imola,False,False,False,False,False,French,ferrari,3,1,5,0,6,2,0,7,9,0,4,0.7290000000000001,33,0.25,0
boesel,1983,4,imola,False,False,False,False,False,Brazilian,ligier,25,9,0,0,12,0,0,10,0,0,8,6.084,25,0.0,0
jarier,1983,4,imola,False,False,False,False,False,French,ligier,19,17,0,0,16,0,0,24,0,0,8,4.878,36,0.0,0
lauda,1983,4,imola,False,False,False,False,False,Austrian,mclaren,18,22,10,0,2,10,0,1,19,1,1,4.861000000000001,34,,0
watson,1983,4,imola,False,False,False,False,False,British,mclaren,24,5,9,1,4,9,1,3,19,1,1,5.414,36,0.0,0
corrado_fabi,1983,4,imola,False,False,False,False,False,Italian,osella,26,20,0,0,25,0,0,28,0,0,15,6.473,22,0.0,0
cheever,1983,4,imola,False,False,False,False,False,American,renault,6,26,4,0,8,0,0,17,13,1,3,2.2119999999999997,25,,0
prost,1983,4,imola,False,False,False,False,False,French,renault,4,2,9,1,3,0,0,9,13,1,3,0.9,28,0.0,0
angelis,1983,4,imola,False,False,False,False,False,Italian,team_lotus,9,15,0,0,27,0,0,23,0,0,11,3.094,25,0.0,0
mansell,1983,4,imola,False,False,False,False,False,British,team_lotus,15,12,0,0,19,0,0,16,0,0,11,4.465,29,0.0,0
cecotto,1983,4,imola,False,False,False,False,False,Venezuelan,theodore,23,23,1,0,11,1,0,8,1,0,7,5.4,27,,0
guerrero,1983,4,imola,False,False,False,False,False,Colombian,theodore,21,25,0,0,26,0,0,22,1,0,7,5.086,24,,0
giacomelli,1983,4,imola,False,False,False,False,False,Italian,toleman,17,21,0,0,21,0,0,25,0,0,10,4.731,30,0.0,0
warwick,1983,4,imola,False,False,False,False,False,British,toleman,14,19,0,0,15,0,0,12,0,0,10,4.438,28,0.0,0
alboreto,1983,4,imola,False,False,False,False,False,Italian,tyrrell,13,24,0,0,13,0,0,13,0,0,9,4.287,26,0.0,0
sullivan,1983,4,imola,False,False,False,False,False,American,tyrrell,22,18,0,0,14,0,0,11,0,0,9,5.121,33,,0
keke_rosberg,1983,4,imola,False,False,False,False,False,Finnish,williams,11,4,2,0,10,0,0,27,9,0,5,3.8480000000000003,34,,0
laffite,1983,4,imola,False,False,False,False,False,French,williams,16,7,7,0,5,6,0,4,9,0,5,4.468999999999999,39,0.0,0
baldi,1983,5,monaco,False,False,False,True,False,Italian,alfa,13,6,0,0,19,0,0,28,0,0,11,3.799,29,0.0,0
cesaris,1983,5,monaco,False,False,False,True,False,Italian,alfa,7,15,0,0,22,0,0,20,0,0,11,2.84,23,0.0,0
serra,1983,5,monaco,False,False,False,True,False,Brazilian,arrows,15,7,0,0,13,0,0,17,4,0,6,3.944,26,0.0,0
surer,1983,5,monaco,False,False,False,True,False,Swiss,arrows,12,10,4,0,10,3,0,9,4,0,6,3.5060000000000002,31,,0
manfred_winkelhock,1983,5,monaco,False,False,False,True,False,German,ats,16,18,0,0,20,0,0,23,0,0,12,4.135,31,0.0,0
patrese,1983,5,monaco,False,False,False,True,False,Italian,brabham,17,8,0,0,18,0,0,18,15,1,4,4.36,29,0.0,0
piquet,1983,5,monaco,False,False,False,True,False,Brazilian,brabham,6,2,15,1,2,15,1,1,15,1,4,2.4330000000000003,30,0.0,0
arnoux,1983,5,monaco,False,False,False,True,False,French,ferrari,2,16,8,0,6,4,0,7,22,1,1,0.342,34,0.0,0
tambay,1983,5,monaco,False,False,False,True,False,French,ferrari,4,4,14,1,3,5,0,6,22,1,1,1.4580000000000002,33,0.0,0
boesel,1983,5,monaco,False,False,False,True,False,Brazilian,ligier,18,17,0,0,12,0,0,12,0,0,8,4.382,25,0.0,0
jarier,1983,5,monaco,False,False,False,True,False,French,ligier,9,13,0,0,17,0,0,16,0,0,8,3.0660000000000003,36,0.0,0
cheever,1983,5,monaco,False,False,False,True,False,American,renault,3,14,4,0,9,4,0,8,19,1,3,1.439,25,,0
prost,1983,5,monaco,False,False,False,True,False,French,renault,1,3,15,1,1,9,1,3,19,1,3,0.0,28,0.0,0
angelis,1983,5,monaco,False,False,False,True,False,Italian,team_lotus,19,12,0,0,26,0,0,27,0,0,13,4.678,25,0.0,0
mansell,1983,5,monaco,False,False,False,True,False,British,team_lotus,14,20,0,0,21,0,0,19,0,0,13,3.8810000000000002,29,0.0,0
warwick,1983,5,monaco,False,False,False,True,False,British,toleman,10,11,0,0,16,0,0,15,0,0,10,3.177,28,0.0,0
alboreto,1983,5,monaco,False,False,False,True,False,Italian,tyrrell,11,19,0,0,14,0,0,13,0,0,9,3.4160000000000004,26,0.0,0
sullivan,1983,5,monaco,False,False,False,True,False,American,tyrrell,20,5,0,0,15,0,0,14,0,0,9,4.69,33,,0
keke_rosberg,1983,5,monaco,False,False,False,True,False,Finnish,williams,5,1,5,0,8,2,0,10,12,0,5,1.4669999999999999,34,0.333333333,0
laffite,1983,5,monaco,False,False,False,True,False,French,williams,8,9,7,0,7,7,0,5,12,0,5,2.886,39,0.0,0
baldi,1983,6,spa,False,False,False,False,False,Italian,alfa,12,25,1,0,12,0,0,19,1,0,8,4.61,29,,0
cesaris,1983,6,spa,False,False,False,False,False,Italian,alfa,3,17,0,0,22,0,0,22,1,0,8,0.225,23,,0
boutsen,1983,6,spa,False,False,False,False,False,Belgian,arrows,18,24,0,0,0,0,0,0,4,0,6,5.261,25,,1
surer,1983,6,spa,False,False,False,False,False,Swiss,arrows,10,11,4,0,10,4,0,10,4,0,6,3.972,31,,0
manfred_winkelhock,1983,6,spa,False,False,False,False,False,German,ats,7,21,0,0,20,0,0,20,0,0,12,1.649,31,0.0,0
patrese,1983,6,spa,False,False,False,False,False,Italian,brabham,6,26,0,0,19,0,0,18,21,1,3,1.5219999999999998,29,,0
