driver,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,nationality,constructor,grid,podium,driver_points_after_race.1,driver_wins_after_race.1,driver_standings_pos_after_race.1,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,wins_percentage,change_teams
patrese,1989,4,rodriguez,True,False,False,False,False,Italian,williams,5,2,0,0,24,0,0,20,3,0,8,1.78,35,0.0,0
tarquini,1989,5,phoenix,False,False,False,False,False,Italian,ags,24,7,1,0,14,0,0,16,1,0,10,3.682,27,,0
cheever,1989,5,phoenix,False,False,False,False,False,American,arrows,17,3,0,0,16,0,0,14,4,0,8,3.1060000000000003,31,,0
warwick,1989,5,phoenix,False,False,False,False,False,British,arrows,10,25,4,0,9,4,0,7,4,0,8,2.384,34,,0
herbert,1989,5,phoenix,False,False,False,False,False,British,benetton,25,5,3,0,12,3,0,10,11,0,2,3.698,24,,0
nannini,1989,5,phoenix,False,False,False,False,False,Italian,benetton,3,24,8,0,4,5,0,4,11,0,2,1.6909999999999998,29,,0
brundle,1989,5,phoenix,False,False,False,False,False,British,brabham,5,16,1,0,15,1,0,13,5,0,6,1.8519999999999999,30,,0
modena,1989,5,phoenix,False,False,False,False,False,Italian,brabham,7,17,4,0,7,4,0,6,5,0,6,2.178,26,,0
caffi,1989,5,phoenix,False,False,False,False,False,Italian,dallara,6,11,3,0,10,3,0,8,3,0,9,2.052,25,,0
cesaris,1989,5,phoenix,False,False,False,False,False,Italian,dallara,13,8,0,0,19,0,0,18,3,0,9,2.541,30,,0
berger,1989,5,phoenix,False,False,False,False,False,Austrian,ferrari,8,10,0,0,30,0,0,30,9,1,3,2.256,29,,0
mansell,1989,5,phoenix,False,False,False,False,False,British,ferrari,4,18,9,1,3,9,1,3,9,1,3,1.819,35,,0
alliot,1989,5,phoenix,False,False,False,False,False,French,larrousse,12,26,0,0,24,0,0,20,0,0,14,2.454,34,0.0,0
capelli,1989,5,phoenix,False,False,False,False,False,Italian,march,11,21,0,0,21,0,0,19,4,0,7,2.385,26,,0
gugelmin,1989,5,phoenix,False,False,False,False,False,Brazilian,march,18,22,4,0,8,4,0,5,4,0,7,3.216,26,0.0,0
prost,1989,5,phoenix,False,False,False,False,False,French,mclaren,2,1,20,0,2,18,0,2,47,3,1,1.409,34,1.0,0
senna,1989,5,phoenix,False,False,False,False,False,Brazilian,mclaren,1,15,27,3,1,18,2,1,47,3,1,0.0,29,0.0,0
martini,1989,5,phoenix,False,False,False,False,False,Italian,minardi,15,19,0,0,27,0,0,29,0,0,16,2.923,28,,0
sala,1989,5,phoenix,False,False,False,False,False,Spanish,minardi,20,14,0,0,26,0,0,25,0,0,16,3.616,30,,0
johansson,1989,5,phoenix,False,False,False,False,False,Swedish,onyx,19,13,0,0,0,0,0,0,0,0,19,3.262,32,,1
danner,1989,5,phoenix,False,False,False,False,False,German,rial,26,4,0,0,22,0,0,23,0,0,13,3.74,31,,0
piquet,1989,5,phoenix,False,False,False,False,False,Brazilian,team_lotus,22,12,0,0,20,0,0,26,0,0,12,3.637,36,0.0,0
satoru_nakajima,1989,5,phoenix,False,False,False,False,False,Japanese,team_lotus,23,20,0,0,18,0,0,15,0,0,12,3.674,36,,0
alboreto,1989,5,phoenix,False,False,False,False,False,Italian,tyrrell,9,23,6,0,6,2,0,11,7,0,5,2.383,32,,0
palmer,1989,5,phoenix,False,False,False,False,False,British,tyrrell,21,9,1,0,13,1,0,12,7,0,5,3.633,32,,0
boutsen,1989,5,phoenix,False,False,False,False,False,Belgian,williams,16,6,3,0,11,3,0,9,9,0,4,2.9360000000000004,31,,0
patrese,1989,5,phoenix,False,False,False,False,False,Italian,williams,14,2,6,0,5,0,0,24,9,0,4,2.687,35,,0
tarquini,1989,6,villeneuve,False,True,False,True,False,Italian,ags,25,19,1,0,15,1,0,14,1,0,11,3.82,27,0.0,0
cheever,1989,6,villeneuve,False,True,False,True,False,American,arrows,16,20,4,0,8,0,0,16,8,0,5,2.855,31,,0
warwick,1989,6,villeneuve,False,True,False,True,False,British,arrows,12,10,4,0,12,4,0,9,8,0,5,2.375,34,0.0,0
nannini,1989,6,villeneuve,False,True,False,True,False,Italian,benetton,13,25,8,0,5,8,0,4,13,0,3,2.569,29,0.0,0
modena,1989,6,villeneuve,False,True,False,True,False,Italian,brabham,7,23,4,0,9,4,0,7,5,0,7,1.639,26,0.0,0
moreno,1989,6,villeneuve,False,True,False,True,False,Brazilian,coloni,26,9,0,0,0,0,0,0,0,0,19,4.064,30,0.0,0
caffi,1989,6,villeneuve,False,True,False,True,False,Italian,dallara,8,6,3,0,13,3,0,10,3,0,9,1.9280000000000002,25,0.0,0
cesaris,1989,6,villeneuve,False,True,False,True,False,Italian,dallara,9,3,0,0,19,0,0,19,3,0,9,2.077,30,0.0,0
berger,1989,6,villeneuve,False,True,False,True,False,Austrian,ferrari,4,18,0,0,26,0,0,30,9,1,4,0.973,29,0.0,0
mansell,1989,6,villeneuve,False,True,False,True,False,British,ferrari,5,22,9,1,4,9,1,3,9,1,4,1.192,35,0.0,0
alliot,1989,6,villeneuve,False,True,False,True,False,French,larrousse,10,14,0,0,24,0,0,24,0,0,14,2.086,34,0.0,0
arnoux,1989,6,villeneuve,False,True,False,True,False,French,ligier,22,5,0,0,23,0,0,23,0,0,12,3.585,40,0.0,0
capelli,1989,6,villeneuve,False,True,False,True,False,Italian,march,21,13,0,0,22,0,0,21,4,0,8,3.4330000000000003,26,0.0,0
gugelmin,1989,6,villeneuve,False,True,False,True,False,Brazilian,march,17,17,4,0,10,4,0,8,4,0,8,2.89,26,0.0,0
prost,1989,6,villeneuve,False,True,False,True,False,French,mclaren,1,21,29,1,1,20,0,2,56,4,1,0.0,34,0.0,0
senna,1989,6,villeneuve,False,True,False,True,False,Brazilian,mclaren,2,7,27,3,2,27,3,1,56,4,1,0.076,29,0.0,0
martini,1989,6,villeneuve,False,True,False,True,False,Italian,minardi,11,24,0,0,29,0,0,27,0,0,17,2.279,28,0.0,0
sala,1989,6,villeneuve,False,True,False,True,False,Spanish,minardi,24,16,0,0,28,0,0,26,0,0,17,3.813,30,0.0,0
johansson,1989,6,villeneuve,False,True,False,True,False,Swedish,onyx,18,15,0,0,27,0,0,0,0,0,16,3.0060000000000002,32,,0
larini,1989,6,villeneuve,False,True,False,True,False,Italian,osella,15,12,0,0,25,0,0,25,0,0,15,2.826,25,0.0,0
danner,1989,6,villeneuve,False,True,False,True,False,German,rial,23,8,3,0,14,0,0,22,3,0,10,3.7539999999999996,31,0.0,0
piquet,1989,6,villeneuve,False,True,False,True,False,Brazilian,team_lotus,19,4,0,0,21,0,0,20,0,0,13,3.056,36,0.0,0
alboreto,1989,6,villeneuve,False,True,False,True,False,Italian,tyrrell,20,26,6,0,6,6,0,6,7,0,6,3.323,32,0.0,0
palmer,1989,6,villeneuve,False,True,False,True,False,British,tyrrell,14,11,1,0,16,1,0,13,7,0,6,2.6919999999999997,32,0.0,0
boutsen,1989,6,villeneuve,False,True,False,True,False,Belgian,williams,6,1,4,0,11,3,0,11,16,0,2,1.338,31,1.0,0
patrese,1989,6,villeneuve,False,True,False,True,False,Italian,williams,3,2,12,0,3,6,0,5,16,0,2,0.81,35,0.0,0
tarquini,1989,7,ricard,True,False,False,False,False,Italian,ags,21,22,1,0,18,1,0,15,1,0,13,3.013,27,,0
cheever,1989,7,ricard,True,False,False,False,False,American,arrows,25,7,4,0,9,4,0,8,8,0,6,3.1689999999999996,31,,0
donnelly,1989,7,ricard,True,False,False,False,False,British,arrows,14,12,0,0,0,0,0,0,8,0,6,2.3209999999999997,25,0.0,1
nannini,1989,7,ricard,True,False,False,False,False,Italian,benetton,4,19,8,0,6,8,0,5,13,0,3,0.934,30,,0
pirro,1989,7,ricard,True,False,False,False,False,Italian,benetton,24,9,0,0,0,0,0,0,13,0,3,3.089,27,,1
modena,1989,7,ricard,True,False,False,False,False,Italian,brabham,22,15,4,0,11,4,0,9,5,0,8,3.051,26,,0
caffi,1989,7,ricard,True,False,False,False,False,Italian,dallara,26,24,4,0,13,3,0,13,8,0,5,3.265,25,,0
mansell,1989,7,ricard,True,False,False,False,False,British,ferrari,3,2,9,1,5,9,1,4,9,1,4,0.252,35,0.0,0
alliot,1989,7,ricard,True,False,False,False,False,French,larrousse,7,21,0,0,25,0,0,24,0,0,15,1.358,34,0.0,0
bernard,1989,7,ricard,True,False,False,False,False,French,larrousse,15,11,0,0,0,0,0,0,0,0,15,2.3930000000000002,24,0.0,1
arnoux,1989,7,ricard,True,False,False,False,False,French,ligier,18,25,2,0,17,0,0,23,2,0,12,2.8739999999999997,41,0.0,0
grouillard,1989,7,ricard,True,False,False,False,False,French,ligier,17,6,0,0,21,0,0,18,2,0,12,2.5140000000000002,30,0.0,0
capelli,1989,7,ricard,True,False,False,False,False,Italian,march,12,18,0,0,23,0,0,22,4,0,9,2.08,26,,0
gugelmin,1989,7,ricard,True,False,False,False,False,Brazilian,march,10,14,4,0,12,4,0,10,4,0,9,1.8330000000000002,26,0.0,0
prost,1989,7,ricard,True,False,False,False,False,French,mclaren,1,1,29,1,1,29,1,1,56,4,1,0.0,34,0.25,0
senna,1989,7,ricard,True,False,False,False,False,Brazilian,mclaren,2,26,27,3,2,27,3,2,56,4,1,0.025,29,0.0,0
johansson,1989,7,ricard,True,False,False,False,False,Swedish,onyx,13,5,0,0,28,0,0,27,0,0,17,2.096,32,,0
piquet,1989,7,ricard,True,False,False,False,False,Brazilian,team_lotus,20,8,3,0,16,0,0,21,3,0,10,2.932,36,0.0,0
satoru_nakajima,1989,7,ricard,True,False,False,False,False,Japanese,team_lotus,19,17,0,0,22,0,0,20,3,0,10,2.9160000000000004,36,,0
alesi,1989,7,ricard,True,False,False,False,False,French,tyrrell,16,4,0,0,0,0,0,0,7,0,7,2.465,25,0.0,1
palmer,1989,7,ricard,True,False,False,False,False,British,tyrrell,9,10,1,0,19,1,0,16,7,0,7,1.8230000000000002,32,0.0,0
boutsen,1989,7,ricard,True,False,False,False,False,Belgian,williams,5,16,13,1,4,4,0,11,31,1,2,1.008,31,,0
patrese,1989,7,ricard,True,False,False,False,False,Italian,williams,8,3,18,0,3,12,0,3,31,1,2,1.79,35,,0
warwick,1989,8,silverstone,True,False,False,False,False,British,arrows,19,9,4,0,14,4,0,14,8,0,7,3.109,34,0.0,0
nannini,1989,8,silverstone,True,False,False,False,False,Italian,benetton,9,3,8,0,6,8,0,6,13,0,4,1.699,30,,0
pirro,1989,8,silverstone,True,False,False,False,False,Italian,benetton,26,11,0,0,25,0,0,0,13,0,4,4.0489999999999995,27,,0
brundle,1989,8,silverstone,True,False,False,False,False,British,brabham,20,14,1,0,23,1,0,20,5,0,8,3.228,30,0.0,0
modena,1989,8,silverstone,True,False,False,False,False,Italian,brabham,14,19,4,0,11,4,0,11,5,0,8,2.656,26,,0
cesaris,1989,8,silverstone,True,False,False,False,False,Italian,dallara,25,24,4,0,10,4,0,10,8,0,6,3.805,30,,0
mansell,1989,8,silverstone,True,False,False,False,False,British,ferrari,3,2,15,1,4,9,1,5,15,1,3,0.389,35,0.0,0
bernard,1989,8,silverstone,True,False,False,False,False,French,larrousse,13,16,0,0,27,0,0,0,0,0,15,2.588,24,0.0,0
grouillard,1989,8,silverstone,True,False,False,False,False,French,ligier,24,7,1,0,22,0,0,21,3,0,12,3.5060000000000002,30,0.0,0
capelli,1989,8,silverstone,True,False,False,False,False,Italian,march,8,23,0,0,26,0,0,23,4,0,9,1.551,26,,0
gugelmin,1989,8,silverstone,True,False,False,False,False,Brazilian,march,6,13,4,0,12,4,0,12,4,0,9,1.237,26,0.0,0
prost,1989,8,silverstone,True,False,False,False,False,French,mclaren,2,1,38,2,1,29,1,1,65,5,1,0.16699999999999998,34,0.2,0
senna,1989,8,silverstone,True,False,False,False,False,Brazilian,mclaren,1,25,27,3,2,27,3,2,65,5,1,0.0,29,0.0,0
martini,1989,8,silverstone,True,False,False,False,False,Italian,minardi,11,5,0,0,0,0,0,0,0,0,18,2.269,28,,0
sala,1989,8,silverstone,True,False,False,False,False,Spanish,minardi,15,6,0,0,0,0,0,0,0,0,18,2.727,30,0.0,0
gachot,1989,8,silverstone,True,False,False,False,False,Belgian,onyx,21,12,0,0,0,0,0,0,2,0,13,3.23,26,,1
piquet,1989,8,silverstone,True,False,False,False,False,Brazilian,team_lotus,10,4,3,0,15,3,0,16,3,0,10,1.8259999999999998,36,0.0,0
satoru_nakajima,1989,8,silverstone,True,False,False,False,False,Japanese,team_lotus,16,8,0,0,24,0,0,22,3,0,10,2.861,36,,0
alesi,1989,8,silverstone,True,False,False,False,False,French,tyrrell,22,20,3,0,17,0,0,0,10,0,5,3.242,25,0.0,0
palmer,1989,8,silverstone,True,False,False,False,False,British,tyrrell,18,18,1,0,21,1,0,19,10,0,5,2.971,32,0.0,0
boutsen,1989,8,silverstone,True,False,False,False,False,Belgian,williams,7,10,13,1,5,13,1,4,35,1,2,1.2770000000000001,32,,0
patrese,1989,8,silverstone,True,False,False,False,False,Italian,williams,5,22,22,0,3,18,0,3,35,1,2,0.7659999999999999,35,,0
cheever,1989,9,hockenheimring,False,False,False,False,True,American,arrows,25,12,4,0,10,4,0,9,8,0,7,6.096,31,,0
warwick,1989,9,hockenheimring,False,False,False,False,True,British,arrows,17,6,4,0,15,4,0,14,8,0,7,5.233,34,0.0,0
nannini,1989,9,hockenheimring,False,False,False,False,True,Italian,benetton,7,22,12,0,6,8,0,6,17,0,4,2.733,30,,0
pirro,1989,9,hockenheimring,False,False,False,False,True,Italian,benetton,9,17,0,0,27,0,0,25,17,0,4,3.545,27,,0
brundle,1989,9,hockenheimring,False,False,False,False,True,British,brabham,12,8,1,0,24,1,0,23,5,0,9,4.916,30,0.0,0
modena,1989,9,hockenheimring,False,False,False,False,True,Italian,brabham,16,13,4,0,12,4,0,11,5,0,9,5.211,26,,0
caffi,1989,9,hockenheimring,False,False,False,False,True,Italian,dallara,20,24,4,0,14,4,0,13,8,0,6,5.379,25,,0
cesaris,1989,9,hockenheimring,False,False,False,False,True,Italian,dallara,21,7,4,0,11,4,0,10,8,0,6,5.579,30,,0
mansell,1989,9,hockenheimring,False,False,False,False,True,British,ferrari,3,3,21,1,4,15,1,4,21,1,3,1.72,35,0.0,0
alboreto,1989,9,hockenheimring,False,False,False,False,True,Italian,larrousse,26,25,6,0,7,6,0,7,0,0,16,6.37,32,,1
arnoux,1989,9,hockenheimring,False,False,False,False,True,French,ligier,23,11,2,0,18,2,0,18,3,0,12,5.966,41,0.0,0
grouillard,1989,9,hockenheimring,False,False,False,False,True,French,ligier,11,26,1,0,21,1,0,22,3,0,12,4.593,30,0.0,0
capelli,1989,9,hockenheimring,False,False,False,False,True,Italian,march,22,15,0,0,28,0,0,26,4,0,10,5.778,26,,0
gugelmin,1989,9,hockenheimring,False,False,False,False,True,Brazilian,march,14,16,4,0,13,4,0,12,4,0,10,5.087,26,0.0,0
prost,1989,9,hockenheimring,False,False,False,False,True,French,mclaren,2,2,47,3,1,38,2,1,74,6,1,0.995,34,0.0,0
senna,1989,9,hockenheimring,False,False,False,False,True,Brazilian,mclaren,1,1,27,3,2,27,3,2,74,6,1,0.0,29,0.166666667,0
martini,1989,9,hockenheimring,False,False,False,False,True,Italian,minardi,13,9,2,0,20,0,0,0,3,0,13,5.08,28,,0
johansson,1989,9,hockenheimring,False,False,False,False,True,Swedish,onyx,24,21,2,0,19,2,0,19,2,0,14,6.047999999999999,32,,0
piquet,1989,9,hockenheimring,False,False,False,False,True,Brazilian,team_lotus,8,5,6,0,8,3,0,15,6,0,8,3.175,36,0.0,0
satoru_nakajima,1989,9,hockenheimring,False,False,False,False,True,Japanese,team_lotus,18,14,0,0,26,0,0,24,6,0,8,5.3629999999999995,36,,0
alesi,1989,9,hockenheimring,False,False,False,False,True,French,tyrrell,10,10,3,0,17,3,0,17,10,0,5,4.588,25,0.0,0
palmer,1989,9,hockenheimring,False,False,False,False,True,British,tyrrell,19,19,1,0,23,1,0,21,10,0,5,5.376,32,0.0,0
boutsen,1989,9,hockenheimring,False,False,False,False,True,Belgian,williams,6,23,13,1,5,13,1,5,35,1,2,2.4019999999999997,32,,0
patrese,1989,9,hockenheimring,False,False,False,False,True,Italian,williams,5,4,22,0,3,22,0,3,35,1,2,2.211,35,,0
cheever,1989,10,hungaroring,False,False,False,False,True,American,arrows,16,5,4,0,11,4,0,10,9,0,6,2.648,31,,0
warwick,1989,10,hungaroring,False,False,False,False,True,British,arrows,9,10,5,0,10,4,0,15,9,0,6,1.891,34,0.0,0
nannini,1989,10,hungaroring,False,False,False,False,True,Italian,benetton,7,18,12,0,6,12,0,6,17,0,4,1.575,30,,0
pirro,1989,10,hungaroring,False,False,False,False,True,Italian,benetton,25,8,0,0,27,0,0,27,17,0,4,3.673,27,,0
brundle,1989,10,hungaroring,False,False,False,False,True,British,brabham,15,12,1,0,24,1,0,24,5,0,9,2.57,30,0.0,0
modena,1989,10,hungaroring,False,False,False,False,True,Italian,brabham,8,11,4,0,13,4,0,12,5,0,9,1.746,26,,0
caffi,1989,10,hungaroring,False,False,False,False,True,Italian,dallara,3,7,4,0,15,4,0,14,8,0,7,0.978,25,,0
cesaris,1989,10,hungaroring,False,False,False,False,True,Italian,dallara,18,26,4,0,12,4,0,11,8,0,7,2.6839999999999997,30,,0
mansell,1989,10,hungaroring,False,False,False,False,True,British,ferrari,12,1,25,1,3,21,1,4,25,1,3,2.225,36,0.083333333,0
alboreto,1989,10,hungaroring,False,False,False,False,True,Italian,larrousse,26,23,6,0,8,6,0,7,0,0,16,4.007,32,,0
capelli,1989,10,hungaroring,False,False,False,False,True,Italian,march,14,22,0,0,28,0,0,28,4,0,10,2.362,26,,0
gugelmin,1989,10,hungaroring,False,False,False,False,True,Brazilian,march,13,21,4,0,14,4,0,13,4,0,10,2.3569999999999998,26,0.0,0
prost,1989,10,hungaroring,False,False,False,False,True,French,mclaren,5,4,53,3,1,47,3,1,89,7,1,1.35,34,,0
senna,1989,10,hungaroring,False,False,False,False,True,Brazilian,mclaren,2,2,36,4,2,27,3,2,89,7,1,0.313,29,0.0,0
martini,1989,10,hungaroring,False,False,False,False,True,Italian,minardi,10,25,2,0,18,2,0,20,3,0,13,2.02,28,,0
sala,1989,10,hungaroring,False,False,False,False,True,Spanish,minardi,23,14,1,0,25,1,0,25,3,0,13,3.2910000000000004,30,0.0,0
gachot,1989,10,hungaroring,False,False,False,False,True,Belgian,onyx,21,19,0,0,30,0,0,30,2,0,14,2.908,26,0.0,0
johansson,1989,10,hungaroring,False,False,False,False,True,Swedish,onyx,24,17,2,0,20,2,0,19,2,0,14,3.4219999999999997,32,,0
piquet,1989,10,hungaroring,False,False,False,False,True,Brazilian,team_lotus,17,6,8,0,7,6,0,8,8,0,8,2.68,36,0.0,0
satoru_nakajima,1989,10,hungaroring,False,False,False,False,True,Japanese,team_lotus,20,20,0,0,26,0,0,26,8,0,8,2.904,36,,0
alesi,1989,10,hungaroring,False,False,False,False,True,French,tyrrell,11,9,3,0,17,3,0,17,10,0,5,2.073,25,,0
palmer,1989,10,hungaroring,False,False,False,False,True,British,tyrrell,19,13,1,0,23,1,0,23,10,0,5,2.852,32,0.0,0
boutsen,1989,10,hungaroring,False,False,False,False,True,Belgian,williams,4,3,13,1,5,13,1,5,38,1,2,1.275,32,0.0,0
patrese,1989,10,hungaroring,False,False,False,False,True,Italian,williams,1,16,25,0,4,22,0,3,38,1,2,0.0,35,,0
cheever,1989,11,spa,False,True,False,False,False,American,arrows,24,17,6,0,8,4,0,11,11,0,5,5.881,31,,0
warwick,1989,11,spa,False,True,False,False,False,British,arrows,10,6,5,0,11,5,0,10,11,0,5,4.997,35,0.0,0
nannini,1989,11,spa,False,True,False,False,False,Italian,benetton,7,5,12,0,6,12,0,6,17,0,4,4.208,30,,0
pirro,1989,11,spa,False,True,False,False,False,Italian,benetton,13,10,0,0,27,0,0,27,17,0,4,5.035,27,,0
brundle,1989,11,spa,False,True,False,False,False,British,brabham,20,22,1,0,24,1,0,24,5,0,9,5.46,30,0.0,0
modena,1989,11,spa,False,True,False,False,False,Italian,brabham,8,24,4,0,13,4,0,13,5,0,9,4.775,26,,0
caffi,1989,11,spa,False,True,False,False,False,Italian,dallara,12,21,4,0,15,4,0,15,8,0,8,5.025,25,,0
cesaris,1989,11,spa,False,True,False,False,False,Italian,dallara,18,11,4,0,12,4,0,12,8,0,8,5.39,30,,0
mansell,1989,11,spa,False,True,False,False,False,British,ferrari,6,3,34,2,3,25,1,3,34,2,3,2.031,36,0.0,0
alboreto,1989,11,spa,False,True,False,False,False,Italian,larrousse,22,20,6,0,9,6,0,8,0,0,16,5.749,32,,0
arnoux,1989,11,spa,False,True,False,False,False,French,ligier,17,25,2,0,19,2,0,19,3,0,12,5.3839999999999995,41,0.0,0
grouillard,1989,11,spa,False,True,False,False,False,French,ligier,26,13,1,0,21,1,0,21,3,0,12,6.16,30,0.0,0
capelli,1989,11,spa,False,True,False,False,False,Italian,march,19,12,0,0,28,0,0,28,4,0,10,5.4239999999999995,26,,0
gugelmin,1989,11,spa,False,True,False,False,False,Brazilian,march,9,7,4,0,14,4,0,14,4,0,10,4.862,26,0.0,0
prost,1989,11,spa,False,True,False,False,False,French,mclaren,2,2,56,3,1,53,3,1,98,7,1,0.596,34,0.0,0
senna,1989,11,spa,False,True,False,False,False,Brazilian,mclaren,1,1,42,4,2,36,4,2,98,7,1,0.0,29,0.166666667,0
martini,1989,11,spa,False,True,False,False,False,Italian,minardi,14,9,2,0,18,2,0,18,3,0,13,5.247999999999999,28,,0
sala,1989,11,spa,False,True,False,False,False,Spanish,minardi,25,15,1,0,25,1,0,25,3,0,13,6.09,30,,0
gachot,1989,11,spa,False,True,False,False,False,Belgian,onyx,23,18,0,0,30,0,0,30,2,0,14,5.849,26,,0
johansson,1989,11,spa,False,True,False,False,False,Swedish,onyx,15,8,2,0,20,2,0,20,2,0,14,5.2620000000000005,32,,0
herbert,1989,11,spa,False,True,False,False,False,British,tyrrell,16,26,5,0,10,5,0,9,10,0,6,5.381,25,0.0,1
palmer,1989,11,spa,False,True,False,False,False,British,tyrrell,21,14,1,0,23,1,0,23,10,0,6,5.733,32,0.0,0
boutsen,1989,11,spa,False,True,False,False,False,Belgian,williams,4,4,17,1,5,13,1,5,42,1,2,1.919,32,,0
patrese,1989,11,spa,False,True,False,False,False,Italian,williams,5,19,25,0,4,25,0,4,42,1,2,2.008,35,,0
warwick,1989,12,monza,True,False,False,False,False,British,arrows,16,21,6,0,10,5,0,11,12,0,5,4.372,35,0.0,0
nannini,1989,12,monza,True,False,False,False,False,Italian,benetton,8,16,14,0,6,12,0,6,19,0,4,3.332,30,,0
pirro,1989,12,monza,True,False,False,False,False,Italian,benetton,9,26,0,0,27,0,0,27,19,0,4,3.677,27,,0
brundle,1989,12,monza,True,False,False,False,False,British,brabham,12,6,1,0,24,1,0,24,5,0,9,3.907,30,0.0,0
caffi,1989,12,monza,True,False,False,False,False,Italian,dallara,20,11,4,0,15,4,0,15,8,0,8,4.876,25,,0
cesaris,1989,12,monza,True,False,False,False,False,Italian,dallara,17,12,4,0,12,4,0,12,8,0,8,4.409,30,,0
berger,1989,12,monza,True,False,False,False,False,Austrian,ferrari,2,2,0,0,0,0,0,0,38,2,3,1.014,30,0.0,0
mansell,1989,12,monza,True,False,False,False,False,British,ferrari,3,14,38,2,3,34,2,3,38,2,3,1.0190000000000001,36,0.0,0
alboreto,1989,12,monza,True,False,False,False,False,Italian,larrousse,13,23,6,0,9,6,0,9,0,0,16,4.083,32,,0
arnoux,1989,12,monza,True,False,False,False,False,French,ligier,23,9,2,0,20,2,0,19,3,0,12,4.965,41,0.0,0
grouillard,1989,12,monza,True,False,False,False,False,French,ligier,21,18,1,0,21,1,0,21,3,0,12,4.949,31,0.0,0
capelli,1989,12,monza,True,False,False,False,False,Italian,march,18,17,0,0,28,0,0,28,4,0,10,4.71,26,,0
gugelmin,1989,12,monza,True,False,False,False,False,Brazilian,march,25,24,4,0,13,4,0,14,4,0,10,5.202999999999999,26,0.0,0
prost,1989,12,monza,True,False,False,False,False,French,mclaren,4,1,62,3,1,56,3,1,113,8,1,1.79,34,0.5,0
senna,1989,12,monza,True,False,False,False,False,Brazilian,mclaren,1,13,51,5,2,42,4,2,113,8,1,0.0,29,0.0,0
martini,1989,12,monza,True,False,False,False,False,Italian,minardi,15,7,2,0,19,2,0,18,3,0,13,4.203,28,,0
sala,1989,12,monza,True,False,False,False,False,Spanish,minardi,26,8,1,0,25,1,0,25,3,0,13,5.5729999999999995,30,0.0,0
piquet,1989,12,monza,True,False,False,False,False,Brazilian,team_lotus,11,19,9,0,7,9,0,7,9,0,7,3.7880000000000003,37,0.0,0
satoru_nakajima,1989,12,monza,True,False,False,False,False,Japanese,team_lotus,19,10,0,0,26,0,0,26,9,0,7,4.721,36,,0
alesi,1989,12,monza,True,False,False,False,False,French,tyrrell,10,5,3,0,17,3,0,17,10,0,6,3.679,25,0.0,0
palmer,1989,12,monza,True,False,False,False,False,British,tyrrell,14,20,1,0,23,1,0,23,10,0,6,4.102,32,0.0,0
boutsen,1989,12,monza,True,False,False,False,False,Belgian,williams,6,3,20,1,5,17,1,5,45,1,2,2.435,32,,0
patrese,1989,12,monza,True,False,False,False,False,Italian,williams,5,4,25,0,4,25,0,4,45,1,2,1.825,35,,0
cheever,1989,13,estoril,True,False,False,False,False,American,arrows,26,24,6,0,9,6,0,8,12,0,6,3.779,31,,0
warwick,1989,13,estoril,True,False,False,False,False,British,arrows,22,19,6,0,11,6,0,10,12,0,6,3.2430000000000003,35,0.0,0
nannini,1989,13,estoril,True,False,False,False,False,Italian,benetton,13,4,14,0,6,14,0,6,19,0,4,2.647,30,0.0,0
pirro,1989,13,estoril,True,False,False,False,False,Italian,benetton,16,22,0,0,28,0,0,27,19,0,4,2.86,27,0.0,0
brundle,1989,13,estoril,True,False,False,False,False,British,brabham,10,8,2,0,22,1,0,24,6,0,9,2.406,30,0.0,0
modena,1989,13,estoril,True,False,False,False,False,Italian,brabham,11,14,4,0,16,4,0,14,6,0,9,2.625,26,0.0,0
caffi,1989,13,estoril,True,False,False,False,False,Italian,dallara,7,21,4,0,17,4,0,15,8,0,8,2.193,25,0.0,0
cesaris,1989,13,estoril,True,False,False,False,False,Italian,dallara,19,25,4,0,14,4,0,12,8,0,8,2.9739999999999998,30,0.0,0
berger,1989,13,estoril,True,False,False,False,False,Austrian,ferrari,2,1,6,0,8,0,0,0,44,2,3,0.591,30,1.0,0
mansell,1989,13,estoril,True,False,False,False,False,British,ferrari,3,18,38,2,3,38,2,3,44,2,3,0.725,36,0.0,0
alboreto,1989,13,estoril,True,False,False,False,False,Italian,larrousse,21,11,6,0,10,6,0,9,0,0,16,3.095,32,0.0,0
alliot,1989,13,estoril,True,False,False,False,False,French,larrousse,17,9,0,0,0,0,0,0,0,0,16,2.918,35,0.0,0
arnoux,1989,13,estoril,True,False,False,False,False,French,ligier,23,13,2,0,21,2,0,20,3,0,12,3.299,41,0.0,0
capelli,1989,13,estoril,True,False,False,False,False,Italian,march,24,23,0,0,29,0,0,28,4,0,10,3.3169999999999997,26,0.0,0
gugelmin,1989,13,estoril,True,False,False,False,False,Brazilian,march,14,10,4,0,15,4,0,13,4,0,10,2.656,26,0.0,0
prost,1989,13,estoril,True,False,False,False,False,French,mclaren,4,2,71,4,1,62,3,1,122,9,1,0.736,34,0.0,0
senna,1989,13,estoril,True,False,False,False,False,Brazilian,mclaren,1,17,51,5,2,51,5,2,122,9,1,0.0,29,0.0,0
martini,1989,13,estoril,True,False,False,False,False,Italian,minardi,5,5,2,0,19,2,0,19,3,0,13,1.47,28,0.0,0
