season,circuit_id,level_2,podium
2000,hungaroring,grid,0.7425183512140033
2011,interlagos,grid,0.7417391304347826
2013,yeongam,grid,0.7413890457368718
2018,hungaroring,grid,0.7413533834586467
1998,interlagos,grid,0.7402597402597403
2004,bahrain,grid,0.7398496240601504
2009,bahrain,grid,0.7398496240601504
2006,shanghai,grid,0.735742518351214
2017,hungaroring,grid,0.7353383458646616
2005,interlagos,grid,0.7338345864661654
2009,istanbul,grid,0.7308270676691729
2002,indianapolis,grid,0.7263157894736842
1999,monza,grid,0.7255787690570299
1969,monza,grid,0.725
1996,estoril,grid,0.724812030075188
2017,bahrain,grid,0.724812030075188
2005,catalunya,grid,0.7234262125902993
2014,villeneuve,grid,0.7233201581027668
2006,catalunya,grid,0.7221908526256352
2009,valencia,grid,0.7203007518796992
2008,valencia,grid,0.718796992481203
2019,albert_park,grid,0.718796992481203
1997,magny_cours,grid,0.717673630717109
2015,villeneuve,grid,0.7172932330827068
2000,sepang,grid,0.7165443252399775
2009,marina_bay,grid,0.7157894736842105
2016,villeneuve,grid,0.7120271033314511
2003,magny_cours,grid,0.7112781954887218
2019,shanghai,grid,0.7112781954887218
2006,magny_cours,grid,0.7108977978543196
2018,marina_bay,grid,0.7082706766917293
2013,bahrain,grid,0.7075098814229249
2018,albert_park,grid,0.706766917293233
1997,interlagos,grid,0.7052512704686618
2011,shanghai,grid,0.7026086956521739
2017,yas_marina,grid,0.7022556390977444
1997,catalunya,grid,0.7018633540372671
2010,monza,grid,0.7017391304347826
2002,hockenheimring,grid,0.6974025974025974
2015,interlagos,grid,0.6962406015037594
2006,istanbul,grid,0.6962168266516092
1952,essarts,grid,0.6948372588097725
2011,nurburgring,grid,0.6939130434782609
2011,hungaroring,grid,0.6939130434782609
2008,hungaroring,grid,0.6932330827067669
2003,imola,grid,0.6932330827067669
2011,catalunya,grid,0.6921739130434783
2013,suzuka,grid,0.691699604743083
2006,hockenheimring,grid,0.691699604743083
2000,magny_cours,grid,0.6894409937888198
2018,interlagos,grid,0.687218045112782
2019,silverstone,grid,0.6842105263157895
2012,bahrain,grid,0.6834782608695652
1951,pedralbes,grid,0.6827067669172933
1953,reims,grid,0.6815384615384615
2015,suzuka,grid,0.681203007518797
1964,rodriguez,grid,0.6807017543859649
2015,monaco,grid,0.6796992481203008
1986,jerez,grid,0.676923076923077
2013,albert_park,grid,0.6758893280632411
2014,bahrain,grid,0.6725014116318464
2018,monaco,grid,0.6721804511278195
2004,albert_park,grid,0.6721804511278195
2005,monza,grid,0.6706766917293233
1952,zandvoort,grid,0.6699091442885924
1996,catalunya,grid,0.665725578769057
2011,buddh,grid,0.6652173913043479
2019,yas_marina,grid,0.6646616541353384
2007,monaco,grid,0.6634669678147939
2013,villeneuve,grid,0.6634669678147939
2018,sochi,grid,0.6631578947368421
1957,essarts,grid,0.6623796106044557
1998,hungaroring,grid,0.6623376623376623
2014,spa,grid,0.6612083568605308
1998,galvez,grid,0.6612083568605308
2012,yeongam,grid,0.6608695652173913
2018,monza,grid,0.6601503759398496
2014,americas,grid,0.6594427244582043
2004,silverstone,grid,0.6586466165413534
2001,suzuka,grid,0.6578204404291361
1986,villeneuve,grid,0.6576923076923077
2016,BAK,grid,0.655561829474873
2018,suzuka,grid,0.6541353383458647
1986,hungaroring,grid,0.6540170940170941
2001,nurburgring,grid,0.6533032185206098
1996,albert_park,grid,0.6533032185206098
2007,silverstone,grid,0.6533032185206098
2006,monza,grid,0.6533032185206098
1998,magny_cours,grid,0.6533032185206098
1993,adelaide,grid,0.6521739130434783
2014,red_bull_ring,grid,0.6510446075663467
2006,suzuka,grid,0.6476566911349521
2017,silverstone,grid,0.6466165413533834
2007,indianapolis,grid,0.6453980801806889
1964,brands_hatch,grid,0.6446153846153846
1973,anderstorp,grid,0.6441331290134912
2000,catalunya,grid,0.6431394692264257
2004,catalunya,grid,0.6421052631578947
2013,hungaroring,grid,0.6420101637492942
2008,sepang,grid,0.6420101637492942
2005,magny_cours,grid,0.6406015037593985
2004,imola,grid,0.6390977443609023
1973,silverstone,grid,0.6339901477832512
2012,catalunya,grid,0.6321739130434783
2003,hungaroring,grid,0.631578947368421
2004,interlagos,grid,0.631578947368421
2012,hockenheimring,grid,0.6313043478260869
2009,sepang,grid,0.6300751879699248
2008,spa,grid,0.6300751879699248
2009,yas_marina,grid,0.6285714285714286
2007,interlagos,grid,0.6261998870694523
2014,suzuka,grid,0.6261998870694523
1951,reims,grid,0.6253127522876084
2012,americas,grid,0.6252173913043478
1986,estoril,grid,0.6245421245421245
1996,magny_cours,grid,0.6239412761151891
2013,catalunya,grid,0.6228119706380576
2019,bahrain,grid,0.6225563909774436
2004,monza,grid,0.6225563909774436
2010,marina_bay,grid,0.6217391304347826
2009,spa,grid,0.6210526315789474
2016,albert_park,grid,0.6205533596837944
2007,albert_park,grid,0.6205533596837944
2003,villeneuve,grid,0.6135338345864662
2008,shanghai,grid,0.6120300751879699
2007,sepang,grid,0.6103896103896104
1971,kyalami,grid,0.61
1999,hungaroring,grid,0.6092603049124788
2013,spa,grid,0.6092603049124788
2011,yas_marina,grid,0.6086956521739131
2012,shanghai,grid,0.6078260869565217
1987,detroit,grid,0.6075213675213675
2014,sepang,grid,0.6058723884810842
1996,galvez,grid,0.6002258610954263
1958,silverstone,grid,0.6
2003,silverstone,grid,0.6
2007,nurburgring,grid,0.5990965556182948
2004,shanghai,grid,0.5984962406015037
2017,rodriguez,grid,0.5984962406015037
2000,imola,grid,0.5979672501411631
1995,catalunya,grid,0.5965811965811966
2011,silverstone,grid,0.5956521739130435
2018,catalunya,grid,0.5939849624060151
2014,marina_bay,grid,0.5923207227555054
1998,albert_park,grid,0.5923207227555054
2017,albert_park,grid,0.592230396134193
2019,americas,grid,0.5909774436090226
2002,spa,grid,0.5909774436090226
2017,suzuka,grid,0.58796992481203
2008,catalunya,grid,0.5878035008469791
1996,nurburgring,grid,0.5832862789384529
2010,albert_park,grid,0.5791304347826087
2017,spa,grid,0.5789473684210527
2001,imola,grid,0.5765104460756635
2007,catalunya,grid,0.5765104460756635
2013,buddh,grid,0.5765104460756635
2014,silverstone,grid,0.5765104460756635
2018,spa,grid,0.5759398496240602
2019,villeneuve,grid,0.5759398496240602
2006,nurburgring,grid,0.5753811405985318
1961,aintree,grid,0.5739252885689164
2013,interlagos,grid,0.5731225296442688
2017,red_bull_ring,grid,0.5729323308270676
1985,imola,grid,0.5722508054224442
2000,suzuka,grid,0.5719932241671372
1993,hockenheimring,grid,0.5705982905982906
2002,silverstone,grid,0.5688311688311688
2002,suzuka,grid,0.5684210526315789
1996,suzuka,grid,0.5669172932330827
1965,spa,grid,0.5666905158436801
1953,bremgarten,grid,0.5636905330585611
2017,americas,grid,0.5593984962406015
1970,tremblant,grid,0.5593984962406015
2002,interlagos,grid,0.5573122529644269
2008,monaco,grid,0.556390977443609
1950,monaco,grid,0.5558441558441558
1973,galvez,grid,0.5554892348224776
2002,villeneuve,grid,0.5550536420101637
1984,estoril,grid,0.554945054945055
1986,brands_hatch,grid,0.5541880341880342
2010,silverstone,grid,0.551304347826087
2001,spa,grid,0.549407114624506
1986,detroit,grid,0.5466666666666666
1951,nurburgring,grid,0.5460191981931113
2019,red_bull_ring,grid,0.544360902255639
2011,monza,grid,0.542608695652174
2012,monaco,grid,0.5417391304347826
2004,hockenheimring,grid,0.5413533834586466
2017,interlagos,grid,0.5413533834586466
1955,zandvoort,grid,0.5411764705882353
1977,long_beach,grid,0.5403726708074534
1972,galvez,grid,0.5403726708074534
2005,hungaroring,grid,0.5398496240601504
1995,hungaroring,grid,0.5391304347826087
2016,sochi,grid,0.5381140598531903
1951,bremgarten,grid,0.5376623376623376
2005,albert_park,grid,0.5368421052631579
1972,mosport,grid,0.5356521739130434
2015,marina_bay,grid,0.5353383458646617
2019,sochi,grid,0.5353383458646617
2010,monaco,grid,0.5321739130434783
2006,bahrain,grid,0.5302089215132694
1995,imola,grid,0.5295726495726496
2010,valencia,grid,0.528695652173913
1996,imola,grid,0.5279503105590062
1953,galvez,grid,0.5264786795048143
2008,hockenheimring,grid,0.5263157894736842
2016,red_bull_ring,grid,0.525691699604743
